,Data,Equalizacao,Eq D-1,SAO,Efluente D-1,phEntrada,phNeutralizacao,phEqualizacao,phAeracao,OD,VLodoSD30,VAeracao,VEqualizacao,Desenquadrou
121,8/14/2018,648.0,1030.0,292.0,268.0,9.1,6.5,7.0,7.2,2.03,870.0,656.0,660.0,0
122,8/15/2018,678.0,648.0,238.0,180.0,7.1,6.5,6.9,7.1,1.92,860.0,512.0,628.0,1
123,8/16/2018,557.0,678.0,259.0,305.0,8.0,6.1,6.9,7.3,1.48,840.0,582.0,636.0,1
124,8/17/2018,395.0,557.0,250.0,332.0,5.5,6.2,7.0,7.1,2.55,890.0,652.0,636.0,0
125,8/18/2018,533.0,395.0,241.0,224.0,5.0,5.3,6.8,7.0,2.73,900.0,458.0,630.0,1
126,8/20/2018,394.0,533.0,221.0,329.0,10.8,8.0,7.0,7.1,2.7,900.0,556.0,644.0,0
127,8/21/2018,400.0,394.0,234.0,219.0,8.2,6.8,6.5,7.0,2.63,890.0,344.0,632.0,0
128,8/22/2018,549.0,400.0,207.0,202.0,3.9,6.3,6.5,7.0,2.84,890.0,288.0,628.0,0
129,8/23/2018,367.0,549.0,249.0,248.0,3.3,4.1,7.0,7.2,2.97,900.0,270.0,628.0,1
130,8/24/2018,534.0,367.0,221.0,277.0,4.7,6.3,6.5,6.9,2.69,900.0,374.0,638.0,0
131,8/25/2018,342.0,534.0,195.0,215.0,7.8,5.1,8.2,6.9,3.05,910.0,316.0,632.0,0
132,8/27/2018,183.0,342.0,246.0,115.0,3.3,6.0,6.3,6.9,2.69,900.0,360.0,632.0,0
133,8/28/2018,204.0,183.0,182.0,75.0,9.7,6.5,7.0,6.8,2.61,890.0,264.0,630.0,0
134,8/29/2018,377.0,204.0,231.0,62.0,10.0,6.8,6.5,6.9,2.89,900.0,234.0,632.0,0
135,8/30/2018,411.0,377.0,217.0,77.0,9.6,6.2,6.7,6.8,3.13,910.0,230.0,636.0,0
136,8/31/2018,347.0,411.0,165.0,90.0,9.1,7.5,6.8,6.9,2.91,910.0,226.0,634.0,0
137,9/1/2018,440.0,347.0,165.0,76.0,9.2,6.5,6.1,7.0,2.8,910.0,224.0,632.0,0
138,9/3/2018,443.0,440.0,165.0,112.0,8.5,6.5,7.1,6.8,2.74,910.0,236.0,640.0,0
139,9/4/2018,363.0,443.0,247.0,91.0,6.9,4.0,6.8,7.0,2.65,890.0,274.0,634.0,0
140,9/5/2018,323.0,363.0,236.0,81.0,4.3,4.2,6.8,6.9,2.69,900.0,250.0,624.0,0
141,9/6/2018,354.0,323.0,247.0,117.0,7.7,5.2,7.3,7.0,2.98,910.0,260.0,630.0,0
142,9/8/2018,212.0,354.0,192.0,96.0,7.1,6.0,6.8,6.9,2.69,890.0,238.0,634.0,0
143,9/10/2018,465.0,212.0,216.0,71.0,6.3,9.0,6.8,6.9,2.2,870.0,308.0,638.0,0
144,9/11/2018,884.0,465.0,236.0,65.0,5.2,4.2,6.3,7.0,2.29,890.0,250.0,634.0,0
145,9/12/2018,624.0,884.0,197.0,99.0,6.6,4.0,6.5,6.9,2.32,880.0,240.0,634.0,0
146,9/13/2018,385.0,624.0,228.0,93.0,9.9,4.1,6.5,7.2,2.47,880.0,240.0,634.0,0
147,9/14/2018,455.0,385.0,207.0,139.0,10.7,10.0,6.5,7.1,2.5,880.0,252.0,634.0,0
148,9/15/2018,299.0,455.0,86.0,151.0,7.7,4.0,6.0,7.0,2.63,880.0,422.0,636.0,0
149,9/17/2018,316.0,299.0,87.0,166.0,3.8,5.0,6.4,7.0,2.51,870.0,364.0,640.0,0
150,9/18/2018,235.0,316.0,117.0,119.0,8.8,6.5,6.6,6.9,2.71,880.0,282.0,642.0,0
151,9/19/2018,250.0,235.0,130.0,141.0,7.9,6.0,6.5,6.9,2.68,880.0,226.0,636.0,0
152,9/20/2018,379.0,250.0,124.0,79.0,3.2,4.7,7.3,7.1,2.55,830.0,248.0,636.0,0
153,9/21/2018,127.0,379.0,395.0,75.0,5.0,9.0,7.5,7.0,2.6,860.0,248.0,636.0,0
154,9/22/2018,313.0,127.0,123.0,90.0,2.5,9.2,7.0,6.9,2.73,880.0,212.0,638.0,0
155,9/24/2018,302.0,313.0,146.0,117.0,10.5,9.5,7.5,7.0,2.28,850.0,252.0,674.0,0
156,9/25/2018,397.0,302.0,122.0,86.0,5.6,10.0,6.2,6.9,2.49,860.0,188.0,634.0,0
157,9/26/2018,556.0,397.0,112.0,109.0,12.5,10.2,7.8,6.9,2.54,860.0,222.0,634.0,0
158,9/27/2018,316.0,556.0,112.0,163.0,11.4,11.0,7.8,7.0,2.6,860.0,198.0,634.0,0
159,9/28/2018,382.0,316.0,310.0,69.0,10.7,11.5,9.0,7.0,2.61,860.0,278.0,640.0,0
160,10/2/2018,621.0,302.0,191.0,205.0,11.2,13.1,10.0,7.2,2.68,870.0,254.0,634.0,0
161,10/3/2018,1850.0,621.0,130.0,169.0,11.5,12.0,10.5,7.4,2.81,870.0,226.0,634.0,0
162,10/4/2018,2053.0,1850.0,25.0,221.0,11.8,12.0,7.5,7.5,2.76,870.0,184.0,634.0,0
163,10/5/2018,2286.0,2053.0,184.0,106.0,12.0,12.0,8.1,7.4,2.9,860.0,232.0,638.0,0
164,10/9/2018,1403.0,1312.0,150.0,134.0,10.0,10.1,7.4,7.3,2.96,880.0,298.0,636.0,0
165,10/10/2018,1418.0,1403.0,136.0,173.0,7.6,7.0,7.3,7.2,2.61,870.0,238.0,640.0,0
166,10/11/2018,553.0,1418.0,69.0,155.0,6.5,4.5,6.5,7.4,2.92,880.0,668.0,646.0,0
167,10/13/2018,661.0,553.0,50.0,164.0,7.5,4.0,6.5,7.1,2.89,880.0,690.0,650.0,0
168,10/15/2018,514.0,661.0,40.0,110.0,9.4,2.0,6.5,7.0,2.95,880.0,694.0,646.0,0
169,10/16/2018,337.0,514.0,62.0,120.0,11.3,10.0,6.0,7.0,2.82,870.0,582.0,642.0,0
170,10/17/2018,421.0,337.0,49.0,204.0,9.5,10.2,6.1,6.9,2.7,860.0,456.0,642.0,0
171,10/18/2018,694.0,421.0,52.0,189.0,7.0,6.5,6.5,7.1,2.75,860.0,346.0,642.0,0
172,10/19/2018,651.0,694.0,25.0,107.0,11.7,11.0,6.5,6.9,2.9,880.0,248.0,636.0,0
173,10/20/2018,1526.0,651.0,70.0,86.0,8.5,10.4,9.5,7.0,2.98,890.0,256.0,638.0,0
174,10/22/2018,613.0,1526.0,24.0,143.0,10.1,9.8,6.5,7.0,2.66,870.0,256.0,644.0,0
175,10/23/2018,561.0,613.0,21.0,84.0,10.8,9.5,7.0,7.2,3.11,900.0,260.0,634.0,0
176,10/24/2018,1554.0,561.0,52.0,146.0,10.1,10.0,7.0,7.0,3.03,900.0,222.0,638.0,0
177,10/25/2018,419.0,1554.0,70.0,106.0,5.5,2.0,6.2,7.2,2.98,900.0,330.0,636.0,0
178,10/26/2018,293.0,419.0,62.0,144.0,6.0,2.0,7.0,7.1,2.91,900.0,256.0,642.0,0
179,10/27/2018,566.0,293.0,59.0,128.0,9.8,7.5,6.5,7.2,2.89,900.0,272.0,636.0,0
180,10/29/2018,159.0,566.0,50.0,67.0,10.5,10.5,7.0,7.0,2.88,890.0,412.0,636.0,0
181,10/30/2018,160.0,159.0,25.0,120.0,5.1,10.0,7.0,7.0,3.02,900.0,328.0,638.0,0
182,11/1/2018,203.0,175.0,23.0,62.0,10.0,7.5,6.5,7.1,2.94,900.0,226.0,634.0,0
183,11/3/2018,268.0,203.0,62.0,115.0,5.9,6.3,7.0,6.9,3.08,900.0,244.0,642.0,0
184,11/5/2018,300.0,268.0,66.0,101.0,9.0,3.0,7.0,7.2,2.91,900.0,356.0,640.0,0
185,11/6/2018,166.0,300.0,73.0,75.0,10.0,9.5,6.5,7.0,2.85,900.0,246.0,636.0,0
186,11/7/2018,335.0,166.0,56.0,175.0,7.4,12.0,7.5,7.3,3.03,920.0,218.0,638.0,0
187,11/8/2018,592.0,335.0,51.0,112.0,6.9,5.0,7.0,7.2,2.9,900.0,560.0,650.0,0
188,11/9/2018,348.0,592.0,57.0,72.0,7.5,9.5,6.8,7.3,3.05,910.0,500.0,660.0,0
189,11/10/2018,351.0,348.0,40.0,71.0,11.0,5.5,8.5,7.2,3.06,910.0,562.0,658.0,0
190,11/12/2018,167.0,351.0,45.0,180.0,10.0,10.0,7.5,7.3,2.79,910.0,420.0,644.0,0
191,11/13/2018,197.0,167.0,49.0,120.0,10.0,10.0,8.0,7.0,3.0,900.0,294.0,636.0,0
192,11/16/2018,735.0,189.0,29.0,88.0,11.5,8.0,10.0,7.0,3.1,910.0,298.0,646.0,0
193,11/17/2018,545.0,735.0,34.0,108.0,10.6,9.0,8.0,7.0,3.15,910.0,208.0,636.0,0
194,11/19/2018,105.0,545.0,18.0,89.0,9.9,7.0,7.0,7.0,3.04,900.0,228.0,640.0,0
195,11/21/2018,83.0,105.0,19.0,45.0,3.7,4.0,6.0,7.0,3.2,910.0,500.0,646.0,0
196,11/22/2018,160.0,83.0,25.0,109.0,4.0,4.0,7.0,7.0,3.0,900.0,410.0,636.0,0
197,11/23/2018,141.0,160.0,25.0,76.0,10.4,4.0,7.0,7.0,2.5,910.0,324.0,634.0,0
198,11/24/2018,128.0,141.0,27.0,84.0,9.9,5.0,7.0,7.5,2.7,910.0,220.0,632.0,0
199,12/4/2018,115.0,131.0,73.0,64.0,6.0,8.0,7.0,7.0,2.84,910.0,414.0,652.0,0
200,12/5/2018,138.0,115.0,69.0,83.0,5.1,6.0,7.0,7.0,2.98,920.0,348.0,648.0,0
201,12/7/2018,194.0,138.0,77.0,229.0,6.0,2.0,6.0,7.0,2.75,900.0,286.0,634.0,0
202,12/11/2018,109.0,123.0,66.0,50.0,8.2,5.0,6.0,7.0,2.85,920.0,432.0,654.0,0
203,12/12/2018,86.0,109.0,53.0,90.0,8.4,6.0,7.0,7.0,2.71,900.0,362.0,656.0,0
204,12/13/2018,157.0,86.0,68.0,139.0,8.4,5.0,6.0,7.0,2.58,890.0,262.0,632.0,0
205,12/14/2018,247.0,157.0,46.0,97.0,7.1,7.0,7.0,7.0,2.8,910.0,266.0,632.0,0
206,12/18/2018,140.0,247.0,48.0,108.0,10.2,7.0,7.0,7.0,2.9,910.0,350.0,652.0,0
207,12/19/2018,93.0,140.0,82.0,176.0,7.9,5.0,7.0,7.0,2.54,890.0,264.0,636.0,0
208,12/20/2018,176.0,93.0,59.0,61.0,6.5,6.0,7.0,7.0,2.9,900.0,230.0,636.0,0
209,12/21/2018,186.0,176.0,68.0,213.0,6.7,5.0,7.0,7.0,2.9,910.0,240.0,638.0,0
210,12/26/2018,174.0,186.0,84.0,221.0,6.3,5.0,6.0,7.0,2.65,900.0,326.0,640.0,0
211,12/28/2018,145.0,174.0,68.0,106.0,10.6,10.0,7.0,7.0,2.5,890.0,194.0,634.0,0
212,12/31/2018,186.0,145.0,55.0,187.0,10.4,7.0,7.0,7.0,2.99,920.0,264.0,650.0,1
213,1/2/2019,90.0,186.0,500.0,375.0,8.2,5.0,6.0,7.0,2.98,910.0,670.0,664.0,0
214,1/3/2019,108.0,90.0,46.0,81.0,11.1,8.0,7.0,7.0,2.93,920.0,562.0,650.0,0
215,1/7/2019,100.0,108.0,62.0,158.0,4.5,3.0,6.0,7.0,3.0,930.0,302.0,638.0,0
216,1/8/2019,142.0,100.0,25.0,142.0,12.7,9.0,7.0,7.0,2.89,920.0,220.0,638.0,0
217,1/9/2019,136.0,142.0,44.0,197.0,6.9,8.0,7.0,7.0,2.75,880.0,198.0,636.0,0
218,1/10/2019,185.0,136.0,35.0,89.0,8.3,6.0,7.0,7.0,2.73,900.0,220.0,632.0,0
219,1/11/2019,209.0,185.0,25.0,70.0,6.0,4.0,7.0,7.0,2.88,910.0,218.0,636.0,0
220,1/12/2019,170.0,209.0,62.0,129.0,5.0,4.0,7.0,7.0,3.1,920.0,172.0,634.0,0
221,1/15/2019,191.0,109.0,42.0,144.0,12.5,13.0,10.0,7.0,2.73,880.0,252.0,636.0,0
222,1/16/2019,279.0,191.0,37.0,49.0,6.1,12.0,8.0,7.5,2.95,910.0,206.0,638.0,0
223,1/17/2019,625.0,279.0,86.0,186.0,10.0,12.0,7.0,7.0,2.9,910.0,256.0,640.0,0
224,1/18/2019,583.0,625.0,77.0,112.0,2.3,3.0,7.0,7.0,2.79,900.0,232.0,634.0,0
225,1/19/2019,791.0,583.0,80.0,235.0,8.9,6.0,6.0,7.0,2.8,900.0,228.0,636.0,0
226,1/21/2019,127.0,791.0,81.0,189.0,9.4,5.0,7.0,7.0,2.9,900.0,334.0,642.0,0
227,1/22/2019,176.0,127.0,81.0,220.0,8.3,7.0,8.0,7.0,2.96,910.0,358.0,636.0,0
228,1/23/2019,225.0,176.0,76.0,140.0,10.0,9.0,7.0,7.0,2.8,900.0,314.0,636.0,0
229,1/24/2019,221.0,225.0,76.0,103.0,11.5,10.0,7.0,7.0,2.5,870.0,232.0,634.0,0
230,1/25/2019,406.0,221.0,62.0,138.0,9.3,12.0,7.0,7.0,2.63,890.0,226.0,632.0,0
231,1/26/2019,225.0,406.0,76.0,145.0,8.7,11.0,7.0,7.0,2.72,900.0,262.0,638.0,0
232,1/28/2019,406.0,221.0,62.0,138.0,9.6,9.0,7.0,7.0,2.8,900.0,218.0,628.0,0
233,1/29/2019,397.0,406.0,75.0,145.0,8.5,8.0,7.0,7.0,2.6,850.0,192.0,632.0,0
234,1/30/2019,491.0,397.0,94.0,235.0,9.5,6.0,8.0,7.0,2.7,870.0,200.0,632.0,0
235,2/4/2019,280.0,491.0,56.0,193.0,9.1,7.0,7.0,7.0,2.85,890.0,246.0,638.0,0
236,2/5/2019,302.0,280.0,32.0,149.0,5.3,5.0,6.0,7.0,2.7,870.0,740.0,674.0,0
237,2/6/2019,230.0,302.0,88.0,113.0,6.6,10.0,7.0,7.0,2.75,870.0,626.0,636.0,0
238,2/7/2019,116.0,230.0,48.0,77.0,4.4,5.0,6.0,7.0,2.8,900.0,646.0,644.0,0
239,2/8/2019,161.0,116.0,41.0,101.0,10.5,10.0,6.0,7.0,2.91,910.0,534.0,628.0,0
240,2/11/2019,170.0,161.0,26.0,102.0,9.2,6.0,7.0,7.0,3.05,920.0,440.0,628.0,0
241,2/12/2019,124.0,170.0,29.0,88.0,8.8,7.0,7.0,7.0,2.92,910.0,340.0,630.0,0
242,2/13/2019,435.0,124.0,42.0,60.0,4.2,7.0,7.0,7.0,3.1,910.0,384.0,642.0,0
