,Data,Equalizacao,Eq D-1,SAO,Efluente D-1,phEntrada D-1,phNeutralizacao D-1,phEqualizacao D-1,phAeracao D-1,OD D-1,phEntrada,phNeutralizacao,phEqualizacao,phAeracao,OD,VLodoSD30,VAeracao,VEqualizacao,DiasDescarte,Desenquadrou
0,3/2/2018,483.0,616.0,97.0,257.0,1.4,4.0,6.0,6.9,2.98,6.7,7.0,7.5,7.0,3.06,940.0,714.0,664.0,25,0
1,3/6/2018,443.0,517.0,57.0,124.0,7.3,8.0,7.0,7.0,3.35,5.1,7.7,7.3,7.1,2.96,930.0,634.0,660.0,0,0
2,3/7/2018,641.0,443.0,51.0,85.0,5.1,7.7,7.3,7.1,2.96,5.4,2.6,7.3,7.1,3.06,890.0,628.0,656.0,1,0
3,3/10/2018,265.0,394.0,30.0,93.0,4.9,5.0,6.9,7.1,2.73,2.4,4.5,7.6,7.3,3.27,810.0,514.0,650.0,4,0
4,3/12/2018,25.0,265.0,25.0,53.0,2.4,4.5,7.6,7.3,3.27,1.2,2.0,6.0,7.0,2.75,800.0,496.0,654.0,5,0
5,3/13/2018,230.0,25.0,198.0,24.0,1.2,2.0,6.0,7.0,2.75,1.8,2.0,7.2,7.1,2.83,700.0,356.0,660.0,6,0
6,3/14/2018,315.0,230.0,185.0,124.0,1.8,2.0,7.2,7.1,2.83,1.5,1.5,7.0,7.1,2.95,860.0,238.0,650.0,7,0
7,3/15/2018,1484.0,315.0,991.0,80.0,1.5,1.5,7.0,7.1,2.95,5.0,3.0,5.8,7.0,2.86,930.0,232.0,582.0,8,0
8,3/16/2018,1927.0,1484.0,742.0,113.0,5.0,3.0,5.8,7.0,2.86,2.1,2.7,6.9,7.0,2.73,880.0,198.0,596.0,9,0
9,3/17/2018,950.0,1927.0,416.0,157.0,2.1,2.7,6.9,7.0,2.73,4.9,3.1,6.7,6.9,2.83,930.0,190.0,556.0,10,0
10,3/19/2018,1378.0,950.0,513.0,62.0,4.9,3.1,6.7,6.9,2.83,2.9,2.6,6.5,7.1,2.91,930.0,272.0,532.0,11,0
11,3/20/2018,1454.0,1378.0,422.0,60.0,2.9,2.6,6.5,7.1,2.91,0.4,1.0,5.5,7.3,2.36,850.0,252.0,550.0,12,0
12,3/21/2018,1365.0,1454.0,375.0,130.0,0.4,1.0,5.5,7.3,2.36,0.7,1.5,3.5,7.4,2.87,810.0,194.0,564.0,13,0
13,3/22/2018,978.0,1365.0,25.0,96.0,0.7,1.5,3.5,7.4,2.87,7.0,5.0,4.5,7.3,2.96,790.0,412.0,648.0,14,0
14,3/23/2018,644.0,978.0,19.0,41.0,7.0,5.0,4.5,7.3,2.96,3.7,7.0,7.5,7.0,2.98,780.0,664.0,644.0,15,0
15,3/24/2018,472.0,644.0,35.0,90.0,3.7,7.0,7.5,7.0,2.98,4.8,3.0,7.0,6.9,2.87,800.0,620.0,640.0,16,0
16,3/26/2018,282.0,472.0,70.0,63.0,4.8,3.0,7.0,6.9,2.87,4.5,5.5,7.2,7.0,2.8,800.0,656.0,640.0,17,0
17,3/27/2018,1079.0,282.0,40.0,78.0,4.5,5.5,7.2,7.0,2.8,5.5,9.0,9.8,7.2,2.68,770.0,660.0,654.0,18,0
18,3/28/2018,1095.0,1079.0,25.0,72.0,5.5,9.0,9.8,7.2,2.68,9.0,10.0,11.0,7.5,2.12,830.0,674.0,632.0,19,0
19,3/29/2018,1635.0,1095.0,25.0,90.0,9.0,10.0,11.0,7.5,2.12,2.2,8.0,8.3,7.2,2.87,840.0,710.0,684.0,20,0
20,4/4/2018,237.0,415.0,68.0,138.0,3.2,3.0,8.0,7.1,2.56,3.0,4.0,7.5,7.2,2.98,730.0,734.0,710.0,23,0
21,4/5/2018,414.0,237.0,63.0,117.0,3.0,4.0,7.5,7.2,2.98,6.1,5.3,7.6,7.1,3.13,850.0,654.0,630.0,24,0
22,4/6/2018,1438.0,414.0,69.0,127.0,6.1,5.3,7.6,7.1,3.13,9.0,7.0,7.5,7.2,2.95,780.0,550.0,650.0,25,0
23,4/7/2018,72.0,1438.0,24.0,96.0,9.0,7.0,7.5,7.2,2.95,3.0,2.7,7.2,7.2,3.05,810.0,574.0,650.0,26,0
24,4/9/2018,159.0,72.0,24.0,24.0,3.0,2.7,7.2,7.2,3.05,1.8,2.0,6.8,7.2,3.07,820.0,612.0,642.0,27,0
25,4/10/2018,60.0,159.0,24.0,30.0,1.8,2.0,6.8,7.2,3.07,2.8,2.0,7.1,7.0,2.9,690.0,496.0,658.0,28,0
26,4/11/2018,61.0,60.0,24.0,24.0,2.8,2.0,7.1,7.0,2.9,3.2,2.0,7.5,7.4,2.99,800.0,426.0,650.0,29,0
27,4/12/2018,70.0,61.0,24.0,24.0,3.2,2.0,7.5,7.4,2.99,3.1,2.5,7.1,7.3,2.94,750.0,350.0,654.0,30,0
28,4/13/2018,72.0,70.0,29.0,77.0,3.1,2.5,7.1,7.3,2.94,2.7,2.0,7.2,7.2,2.88,800.0,300.0,632.0,31,0
29,4/14/2018,415.0,72.0,24.0,28.0,2.7,2.0,7.2,7.2,2.88,2.9,6.5,10.2,7.1,2.97,810.0,272.0,640.0,32,0
30,4/16/2018,661.0,415.0,24.0,24.0,2.9,6.5,10.2,7.1,2.97,6.0,5.0,7.4,7.2,3.05,830.0,296.0,644.0,33,0
31,4/17/2018,3143.0,661.0,24.0,24.0,6.0,5.0,7.4,7.2,3.05,1.4,5.0,11.0,7.3,2.64,810.0,268.0,642.0,34,0
32,4/18/2018,1501.0,3143.0,24.0,24.0,1.4,5.0,11.0,7.3,2.64,1.8,2.0,11.5,8.0,3.08,770.0,260.0,642.0,0,1
33,4/19/2018,1519.0,1501.0,105.0,779.0,1.8,2.0,11.5,8.0,3.08,2.8,2.0,10.0,8.3,3.04,730.0,388.0,648.0,1,1
34,4/20/2018,1358.0,1519.0,309.0,980.0,2.8,2.0,10.0,8.3,3.04,2.5,1.8,7.7,8.8,2.88,810.0,574.0,648.0,2,1
35,4/22/2018,941.0,1358.0,211.0,998.0,2.5,1.8,7.7,8.8,2.88,5.7,5.5,7.5,7.5,2.8,780.0,716.0,692.0,3,1
36,4/24/2018,928.0,941.0,172.0,756.0,5.7,5.5,7.5,7.5,2.8,12.0,6.0,6.8,7.4,2.81,780.0,730.0,714.0,4,1
37,4/25/2018,642.0,928.0,243.0,481.0,12.0,6.0,6.8,7.4,2.81,2.5,9.5,7.2,7.5,2.86,720.0,736.0,710.0,5,1
38,4/26/2018,558.0,642.0,25.0,473.0,2.5,9.5,7.2,7.5,2.86,3.6,1.4,7.0,7.2,2.79,720.0,738.0,714.0,6,0
39,4/27/2018,704.0,558.0,230.0,235.0,3.6,1.4,7.0,7.2,2.79,1.6,3.4,7.1,7.6,2.86,840.0,662.0,582.0,7,0
40,4/28/2018,956.0,704.0,125.0,228.0,1.6,3.4,7.1,7.6,2.86,5.7,3.2,6.3,7.4,2.77,790.0,604.0,638.0,8,1
41,4/30/2018,857.0,956.0,99.0,356.0,5.7,3.2,6.3,7.4,2.77,8.0,5.8,6.2,7.2,2.99,840.0,676.0,652.0,9,0
42,5/2/2018,655.0,857.0,205.0,145.0,8.0,5.8,6.2,7.2,2.99,9.0,7.8,7.0,7.3,2.75,760.0,630.0,644.0,10,0
43,5/8/2018,576.0,661.0,188.0,145.0,2.3,4.5,7.3,7.1,2.93,7.6,2.5,7.2,7.1,2.9,810.0,486.0,648.0,15,0
44,5/9/2018,588.0,576.0,264.0,217.0,7.6,2.5,7.2,7.1,2.9,3.4,5.8,7.0,7.0,2.71,810.0,474.0,646.0,16,0
45,5/10/2018,613.0,588.0,171.0,189.0,3.4,5.8,7.0,7.0,2.71,6.4,5.0,7.2,7.1,2.83,840.0,474.0,638.0,17,0
46,5/11/2018,553.0,613.0,201.0,155.0,6.4,5.0,7.2,7.1,2.83,2.6,2.5,7.0,7.0,2.84,860.0,398.0,636.0,18,0
47,5/12/2018,904.0,553.0,196.0,128.0,2.6,2.5,7.0,7.0,2.84,9.2,2.4,8.8,7.4,2.94,850.0,350.0,638.0,19,0
48,5/14/2018,909.0,904.0,274.0,122.0,9.2,2.4,8.8,7.4,2.94,1.0,1.5,6.0,7.0,2.93,830.0,290.0,640.0,20,0
49,5/19/2018,518.0,739.0,152.0,128.0,12.0,5.0,7.0,7.0,2.81,2.0,5.1,9.2,7.1,2.91,730.0,242.0,636.0,25,0
50,5/21/2018,356.0,518.0,271.0,119.0,2.0,5.1,9.2,7.1,2.91,6.5,2.0,3.5,7.0,2.8,850.0,506.0,652.0,26,0
51,5/22/2018,1500.0,356.0,142.0,127.0,6.5,2.0,3.5,7.0,2.8,3.4,2.1,9.1,7.6,3.1,870.0,494.0,640.0,27,1
52,5/23/2018,3088.0,1500.0,158.0,592.0,3.4,2.1,9.1,7.6,3.1,2.4,1.8,9.2,7.6,2.97,880.0,580.0,650.0,0,1
53,5/24/2018,1501.0,3088.0,144.0,545.0,2.4,1.8,9.2,7.6,2.97,1.0,1.8,10.0,7.6,2.58,840.0,636.0,654.0,1,1
54,5/25/2018,2955.0,1501.0,151.0,340.0,1.0,1.8,10.0,7.6,2.58,1.0,1.3,10.2,7.5,2.63,840.0,632.0,660.0,2,0
55,5/26/2018,3054.0,2955.0,180.0,218.0,1.0,1.3,10.2,7.5,2.63,1.3,1.1,9.8,8.0,2.94,890.0,600.0,582.0,3,1
56,5/28/2018,2720.0,3054.0,123.0,548.0,1.3,1.1,9.8,8.0,2.94,7.8,1.5,9.5,7.5,2.88,890.0,656.0,588.0,4,0
57,5/29/2018,2509.0,2720.0,141.0,55.0,7.8,1.5,9.5,7.5,2.88,5.5,1.5,8.4,7.5,2.29,870.0,638.0,634.0,5,1
58,5/30/2018,2292.0,2509.0,171.0,403.0,5.5,1.5,8.4,7.5,2.29,1.0,1.5,7.7,7.5,2.24,870.0,678.0,648.0,6,1
59,6/1/2018,1485.0,2292.0,193.0,369.0,1.0,1.5,7.7,7.5,2.24,1.5,1.5,7.0,7.3,2.31,850.0,690.0,670.0,7,0
60,6/5/2018,1181.0,1710.0,160.0,241.0,6.0,1.0,5.0,7.4,2.88,10.1,12.1,6.0,7.3,2.95,880.0,514.0,634.0,0,1
61,6/6/2018,1222.0,1181.0,152.0,371.0,10.1,12.1,6.0,7.3,2.95,2.0,3.0,6.7,7.3,2.79,850.0,610.0,634.0,1,0
62,6/7/2018,1317.0,1222.0,136.0,238.0,2.0,3.0,6.7,7.3,2.79,3.2,1.8,5.8,7.3,2.96,870.0,504.0,634.0,2,1
63,6/8/2018,936.0,1317.0,160.0,474.0,3.2,1.8,5.8,7.3,2.96,3.9,2.1,5.2,7.2,2.8,850.0,564.0,634.0,3,1
64,6/9/2018,719.0,936.0,153.0,342.0,3.9,2.1,5.2,7.2,2.8,11.2,3.3,5.2,7.2,2.87,860.0,642.0,656.0,4,1
65,6/11/2018,547.0,719.0,163.0,287.0,11.2,3.3,5.2,7.2,2.87,8.2,3.4,5.2,7.1,2.79,860.0,704.0,666.0,5,0
66,6/12/2018,777.0,547.0,131.0,150.0,8.2,3.4,5.2,7.1,2.79,3.9,3.5,6.4,7.1,2.73,860.0,564.0,640.0,6,0
67,6/13/2018,509.0,777.0,152.0,139.0,3.9,3.5,6.4,7.1,2.73,7.9,3.0,6.5,7.2,2.95,850.0,490.0,634.0,7,0
68,6/14/2018,832.0,509.0,123.0,170.0,7.9,3.0,6.5,7.2,2.95,8.5,5.0,7.0,7.1,2.98,860.0,340.0,634.0,0,0
69,6/15/2018,1137.0,832.0,125.0,188.0,8.5,5.0,7.0,7.1,2.98,10.1,12.0,8.5,7.3,3.01,870.0,378.0,634.0,1,0
70,6/16/2018,601.0,1137.0,121.0,179.0,10.1,12.0,8.5,7.3,3.01,4.6,3.0,7.1,7.2,2.49,860.0,320.0,634.0,2,0
71,6/18/2018,464.0,601.0,164.0,141.0,4.6,3.0,7.1,7.2,2.49,8.0,6.0,7.1,7.2,2.74,860.0,348.0,636.0,3,0
72,6/19/2018,625.0,464.0,70.0,126.0,8.0,6.0,7.1,7.2,2.74,9.3,6.5,6.5,7.0,2.61,860.0,408.0,638.0,4,0
73,6/20/2018,800.0,625.0,80.0,112.0,9.3,6.5,6.5,7.0,2.61,8.9,9.0,6.8,7.0,2.42,850.0,346.0,638.0,5,0
74,6/21/2018,323.0,800.0,129.0,105.0,8.9,9.0,6.8,7.0,2.42,2.6,6.8,7.3,7.0,3.04,880.0,192.0,636.0,6,0
75,6/22/2018,337.0,323.0,104.0,105.0,2.6,6.8,7.3,7.0,3.04,6.5,6.0,7.0,7.0,2.93,860.0,228.0,636.0,7,0
76,6/26/2018,1761.0,1118.0,65.0,86.0,8.1,5.5,9.8,7.1,2.95,5.4,5.8,10.0,7.0,2.59,850.0,314.0,650.0,10,0
77,6/27/2018,1896.0,1761.0,167.0,70.0,5.4,5.8,10.0,7.0,2.59,8.9,6.2,9.7,7.0,2.93,900.0,348.0,368.0,11,0
78,6/28/2018,2057.0,1896.0,104.0,0.0,8.9,6.2,9.7,7.0,2.93,9.3,6.1,9.8,7.2,3.08,880.0,206.0,636.0,12,0
79,7/2/2018,861.0,1489.0,120.0,289.0,10.1,6.9,8.2,7.3,2.95,1.9,5.1,6.1,7.1,3.11,900.0,296.0,636.0,15,1
80,7/3/2018,1043.0,861.0,115.0,261.0,1.9,5.1,6.1,7.1,3.11,1.1,2.0,4.3,7.0,3.03,880.0,376.0,646.0,0,0
81,7/4/2018,1597.0,1043.0,132.0,232.0,1.1,2.0,4.3,7.0,3.03,1.5,1.5,6.5,7.2,3.01,880.0,284.0,626.0,1,1
82,7/5/2018,2046.0,1597.0,112.0,382.0,1.5,1.5,6.5,7.2,3.01,1.0,1.0,5.1,7.0,2.88,860.0,312.0,642.0,2,0
83,7/6/2018,3366.0,2046.0,86.0,194.0,1.0,1.0,5.1,7.0,2.88,2.8,6.5,5.5,7.0,2.2,850.0,218.0,626.0,3,1
84,7/7/2018,1500.0,3366.0,231.0,279.0,2.8,6.5,5.5,7.0,2.2,1.6,3.0,5.6,7.0,2.92,860.0,262.0,630.0,4,1
85,7/9/2018,2196.0,1500.0,132.0,1500.0,1.6,3.0,5.6,7.0,2.92,2.9,1.0,5.6,6.9,3.04,890.0,332.0,638.0,5,0
86,7/10/2018,1866.0,2196.0,170.0,113.0,2.9,1.0,5.6,6.9,3.04,1.8,2.2,5.5,7.0,3.01,890.0,190.0,630.0,6,0
87,7/11/2018,1692.0,1866.0,477.0,213.0,1.8,2.2,5.5,7.0,3.01,8.8,6.6,7.5,7.3,3.15,890.0,216.0,624.0,7,0
88,7/12/2018,1785.0,1692.0,501.0,135.0,8.8,6.6,7.5,7.3,3.15,9.2,8.0,6.7,7.0,3.04,880.0,222.0,622.0,8,0
89,7/13/2018,1710.0,1785.0,427.0,154.0,9.2,8.0,6.7,7.0,3.04,4.3,5.4,6.8,7.1,3.18,900.0,218.0,622.0,9,0
90,7/17/2018,585.0,551.0,453.0,128.0,9.3,9.8,6.7,7.0,3.42,10.4,9.8,7.3,6.9,2.93,890.0,178.0,628.0,12,0
91,7/18/2018,615.0,585.0,425.0,123.0,10.4,9.8,7.3,6.9,2.93,10.0,9.6,6.4,6.9,2.99,890.0,220.0,634.0,13,0
92,7/19/2018,615.0,615.0,397.0,112.0,10.0,9.6,6.4,6.9,2.99,4.1,6.7,7.0,7.0,2.91,880.0,236.0,630.0,14,1
93,7/20/2018,301.0,615.0,342.0,281.0,4.1,6.7,7.0,7.0,2.91,10.4,5.5,6.7,6.9,2.87,880.0,212.0,632.0,15,0
94,7/21/2018,317.0,301.0,342.0,92.0,10.4,5.5,6.7,6.9,2.87,5.2,6.5,7.1,7.0,2.84,880.0,202.0,634.0,16,0
95,7/23/2018,3232.0,317.0,342.0,102.0,5.2,6.5,7.1,7.0,2.84,2.3,6.0,7.0,6.9,2.81,880.0,210.0,632.0,17,0
96,7/24/2018,352.0,3232.0,342.0,93.0,2.3,6.0,7.0,6.9,2.81,8.7,4.8,7.2,6.8,3.09,900.0,244.0,632.0,18,0
97,7/25/2018,312.0,352.0,342.0,119.0,8.7,4.8,7.2,6.8,3.09,6.2,9.8,7.0,7.0,2.85,890.0,248.0,632.0,19,0
98,7/26/2018,405.0,312.0,342.0,93.0,6.2,9.8,7.0,7.0,2.85,5.3,5.0,6.5,6.9,2.52,890.0,266.0,622.0,20,0
99,7/27/2018,350.0,405.0,342.0,100.0,5.3,5.0,6.5,6.9,2.52,8.5,4.2,7.1,6.9,1.98,840.0,190.0,630.0,21,0
100,7/28/2018,478.0,350.0,342.0,95.0,8.5,4.2,7.1,6.9,1.98,1.0,6.2,7.1,6.9,2.15,860.0,324.0,652.0,22,0
101,8/1/2018,1016.0,881.0,342.0,78.0,2.5,1.0,7.0,6.9,2.29,3.7,5.2,9.8,7.0,2.87,900.0,230.0,632.0,25,0
102,8/2/2018,632.0,1016.0,390.0,215.0,3.7,5.2,9.8,7.0,2.87,5.3,4.0,7.2,7.1,2.01,860.0,324.0,636.0,26,0
103,8/3/2018,494.0,632.0,322.0,88.0,5.3,4.0,7.2,7.1,2.01,8.0,8.0,7.0,6.9,2.48,890.0,288.0,630.0,27,0
104,8/4/2018,962.0,494.0,350.0,45.0,8.0,8.0,7.0,6.9,2.48,8.9,6.0,6.8,7.2,2.41,880.0,382.0,634.0,28,0
105,8/6/2018,1601.0,962.0,125.0,170.0,8.9,6.0,6.8,7.2,2.41,1.4,3.2,6.5,7.1,2.53,880.0,406.0,636.0,29,0
106,8/7/2018,3400.0,1601.0,343.0,42.0,1.4,3.2,6.5,7.1,2.53,2.3,1.4,8.1,7.1,2.6,900.0,418.0,626.0,30,1
107,8/8/2018,8240.0,3400.0,337.0,314.0,2.3,1.4,8.1,7.1,2.6,9.0,3.0,10.1,7.1,2.37,890.0,528.0,642.0,31,0
108,8/9/2018,5620.0,8240.0,296.0,189.0,9.0,3.0,10.1,7.1,2.37,5.5,5.5,10.6,7.5,2.89,910.0,506.0,568.0,32,0
109,8/10/2018,1927.0,5620.0,292.0,229.0,5.5,5.5,10.6,7.5,2.89,12.0,8.0,7.3,7.5,3.15,920.0,524.0,572.0,0,1
110,8/11/2018,1500.0,1927.0,338.0,267.0,12.0,8.0,7.3,7.5,3.15,4.7,7.5,7.2,7.1,3.08,900.0,524.0,632.0,1,1
111,8/13/2018,1030.0,1500.0,288.0,1500.0,4.7,7.5,7.2,7.1,3.08,8.1,6.1,6.5,7.3,2.91,900.0,610.0,648.0,2,1
112,8/14/2018,648.0,1030.0,292.0,268.0,8.1,6.1,6.5,7.3,2.91,9.1,6.5,7.0,7.2,2.03,870.0,656.0,660.0,3,0
